heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
temperasimulada,89,20,6,0.0000,56,239,0.80
temperasimulada,89,20,7,0.0000,56,239,0.80
temperasimulada,89,20,8,0.0000,56,239,0.80
temperasimulada,89,20,9,0.0000,56,239,0.80
temperasimulada,89,20,10,0.0000,56,239,0.80
temperasimulada,89,20,1,0.0000,77,239,0.85
temperasimulada,89,20,2,0.0000,77,239,0.85
temperasimulada,89,20,3,0.0000,77,239,0.85
temperasimulada,89,20,4,0.0000,77,239,0.85
temperasimulada,89,20,5,0.0000,77,239,0.85
temperasimulada,89,20,6,0.0000,77,239,0.85
temperasimulada,89,20,7,0.0000,77,239,0.85
temperasimulada,89,20,8,0.0000,77,239,0.85
temperasimulada,89,20,9,0.0000,77,239,0.85
temperasimulada,89,20,10,0.0000,77,239,0.85
temperasimulada,89,20,1,0.0000,118,239,0.90
temperasimulada,89,20,2,0.0000,118,239,0.90
temperasimulada,89,20,3,0.0000,118,239,0.90
temperasimulada,89,20,4,0.0000,118,239,0.90
temperasimulada,89,20,5,0.0000,118,239,0.90
temperasimulada,89,20,6,0.0000,118,239,0.90
temperasimulada,89,20,7,0.0000,118,239,0.90
temperasimulada,89,20,8,0.0000,118,239,0.90
temperasimulada,89,20,9,0.0000,118,239,0.90
temperasimulada,89,20,10,0.0000,118,239,0.90
temperasimulada,89,20,1,0.0000,242,239,0.95
temperasimulada,89,20,2,0.0000,242,239,0.95
temperasimulada,89,20,3,0.0000,242,239,0.95
temperasimulada,89,20,4,0.0000,242,239,0.95
temperasimulada,89,20,5,0.0000,242,239,0.95
temperasimulada,89,20,6,0.0000,242,239,0.95
temperasimulada,89,20,7,0.0000,242,239,0.95
temperasimulada,89,20,8,0.0000,242,239,0.95
temperasimulada,89,20,9,0.0000,242,239,0.95
temperasimulada,89,20,10,0.0000,242,239,0.95
temperasimulada,89,20,1,0.0001,1000,239,0.99
temperasimulada,89,20,2,0.0001,1000,239,0.99
temperasimulada,89,20,3,0.0001,1000,239,0.99
temperasimulada,89,20,4,0.0001,1000,239,0.99
temperasimulada,89,20,5,0.0001,1000,239,0.99
temperasimulada,89,20,6,0.0001,1000,239,0.99
temperasimulada,89,20,7,0.0001,1000,239,0.99
temperasimulada,89,20,8,0.0001,1000,239,0.99
temperasimulada,89,20,9,0.0001,1000,239,0.99
temperasimulada,89,20,10,0.0001,1000,239,0.99
temperasimulada,400,20,1,0.0000,63,1035,0.80
temperasimulada,400,20,2,0.0000,63,1035,0.80
temperasimulada,400,20,3,0.0000,63,1035,0.80
temperasimulada,400,20,4,0.0000,63,1035,0.80
temperasimulada,400,20,5,0.0000,63,1035,0.80
temperasimulada,400,20,6,0.0000,63,1035,0.80
temperasimulada,400,20,7,0.0000,63,1035,0.80
temperasimulada,400,20,8,0.0000,63,1035,0.80
temperasimulada,400,20,9,0.0000,63,1035,0.80
temperasimulada,400,20,10,0.0000,63,1035,0.80
temperasimulada,400,20,1,0.0000,86,1035,0.85
temperasimulada,400,20,2,0.0000,86,1035,0.85
temperasimulada,400,20,3,0.0000,86,1035,0.85
temperasimulada,400,20,4,0.0000,86,1035,0.85
temperasimulada,400,20,5,0.0000,86,1035,0.85
temperasimulada,400,20,6,0.0000,86,1035,0.85
temperasimulada,400,20,7,0.0000,86,1035,0.85
temperasimulada,400,20,8,0.0000,86,1035,0.85
temperasimulada,400,20,9,0.0000,86,1035,0.85
temperasimulada,400,20,10,0.0000,86,1035,0.85
temperasimulada,400,20,1,0.0000,132,1035,0.90
temperasimulada,400,20,2,0.0000,132,1035,0.90
temperasimulada,400,20,3,0.0000,132,1035,0.90
temperasimulada,400,20,4,0.0000,132,1035,0.90
temperasimulada,400,20,5,0.0000,132,1035,0.90
temperasimulada,400,20,6,0.0000,132,1035,0.90
temperasimulada,400,20,7,0.0000,132,1035,0.90
temperasimulada,400,20,8,0.0000,132,1035,0.90
temperasimulada,400,20,9,0.0000,132,1035,0.90
temperasimulada,400,20,10,0.0000,132,1035,0.90
temperasimulada,400,20,1,0.0000,271,1035,0.95
temperasimulada,400,20,2,0.0000,271,1035,0.95
temperasimulada,400,20,3,0.0000,271,1035,0.95
temperasimulada,400,20,4,0.0000,271,1035,0.95
temperasimulada,400,20,5,0.0000,271,1035,0.95
temperasimulada,400,20,6,0.0000,271,1035,0.95
temperasimulada,400,20,7,0.0000,271,1035,0.95
temperasimulada,400,20,8,0.0000,271,1035,0.95
temperasimulada,400,20,9,0.0000,271,1035,0.95
temperasimulada,400,20,10,0.0000,271,1035,0.95
temperasimulada,400,20,1,0.0001,1000,1035,0.99
temperasimulada,400,20,2,0.0001,1000,1035,0.99
temperasimulada,400,20,3,0.0001,1000,1035,0.99
temperasimulada,400,20,4,0.0001,1000,1035,0.99
temperasimulada,400,20,5,0.0001,1000,1035,0.99
temperasimulada,400,20,6,0.0001,1000,1035,0.99
temperasimulada,400,20,7,0.0001,1000,1035,0.99
temperasimulada,400,20,8,0.0001,1000,1035,0.99
temperasimulada,400,20,9,0.0001,1000,1035,0.99
temperasimulada,400,20,10,0.0001,1000,1035,0.99
temperasimulada,354,50,1,0.0000,58,381,0.80
temperasimulada,354,50,2,0.0000,58,381,0.80
temperasimulada,354,50,3,0.0000,58,381,0.80
temperasimulada,354,50,4,0.0000,58,381,0.80
temperasimulada,354,50,5,0.0000,58,381,0.80
temperasimulada,354,50,6,0.0000,58,381,0.80
temperasimulada,354,50,7,0.0000,58,381,0.80
temperasimulada,354,50,8,0.0000,58,381,0.80
temperasimulada,354,50,9,0.0000,58,381,0.80
temperasimulada,354,50,10,0.0000,58,381,0.80
temperasimulada,354,50,1,0.0000,80,381,0.85
temperasimulada,354,50,2,0.0000,80,381,0.85
temperasimulada,354,50,3,0.0000,80,381,0.85
temperasimulada,354,50,4,0.0000,80,381,0.85
temperasimulada,354,50,5,0.0000,80,381,0.85
temperasimulada,354,50,6,0.0000,80,381,0.85
temperasimulada,354,50,7,0.0000,80,381,0.85
temperasimulada,354,50,8,0.0000,80,381,0.85
temperasimulada,354,50,9,0.0000,80,381,0.85
temperasimulada,354,50,10,0.0000,80,381,0.85
